025-03-24 22:51:11,250 - __main__ - INFO - Running scheduled news update
2025-03-24 22:51:11,390 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.20.10.10:5000
2025-03-24 22:55:15,042 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:15] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:55:15,250 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:15] "GET /api/news?limit=6&offset=0 HTTP/1.1" 200 -
2025-03-24 22:55:16,513 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:16] "GET /api/news?category=entertainment&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:55:16,733 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:16] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:55:58,685 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:58] "GET /api/news?category=entertainment&limit=9&offset=9 HTTP/1.1" 200 -
2025-03-24 22:55:58,892 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:55:58] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:56:20,352 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:56:20] "[33mGET /api/article/7 HTTP/1.1[0m" 404 -
2025-03-24 22:56:50,202 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:56:50] "[33mGET /api/article/7 HTTP/1.1[0m" 404 -
2025-03-24 22:58:58,898 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:58:58] "GET /api/news?category=entertainment&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:58:59,130 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:58:59] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:58:59,890 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:58:59] "GET /api/news?category=technology&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:00,097 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:00] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:01,743 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:01] "GET /api/news?category=politics&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:01,963 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:01] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:03,711 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:03] "GET /api/news?category=education&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:03,929 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:03] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:05,377 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:05] "GET /api/news?category=sports&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:05,585 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:05] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:05,801 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:05] "GET /api/news?category=sports&limit=9&offset=0 HTTP/1.1" 200 -
2025-03-24 22:59:06,011 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:06] "GET /api/status HTTP/1.1" 200 -
2025-03-24 22:59:06,575 - werkzeug - INFO - 127.0.0.1 - - [24/Mar/2025 22:59:06] "GET /api/news?category=travel&limit=9&offset=0 HTTP/1.1" 200 -
